Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close
2019-08-15,10038.42,10437.41,9675.32,10311.55,4254.91,4380.90,4120.65,4261.96
2019-08-14,10889.49,10889.56,10028.14,10051.70,4247.92,4373.63,4113.92,4254.77
2019-08-13,11385.05,11420.05,10830.33,10895.83,4240.32,4366.04,4106.94,4247.77
2019-08-12,11528.19,11528.19,11320.95,11382.62,4232.36,4358.06,4099.37,4240.17
2019-08-11,11349.74,11523.58,11248.29,11523.58,4224.31,4350.00,4091.46,4232.21
2019-08-10,11861.56,11915.66,11323.90,11354.02,4216.37,4341.94,4083.60,4224.16
2019-08-09,11953.47,11970.46,11709.75,11862.94,4208.07,4333.61,4075.69,4216.22
2019-08-08,11954.04,11979.42,11556.17,11966.41,4199.71,4325.23,4067.50,4207.92
2019-08-07,11476.19,12036.99,11433.70,11941.97,4191.34,4316.85,4059.41,4199.55
2019-08-06,11811.54,12273.82,11290.73,11478.17,4183.32,4308.43,4051.42,4191.19
2019-08-05,10960.74,11895.09,10960.74,11805.65,4175.06,4299.84,4043.53,4183.17
2019-08-04,10821.63,11009.21,10620.28,10970.18,4167.40,4291.51,4035.87,4174.91
2019-08-03,10519.28,10946.78,10503.50,10821.73,4159.84,4283.82,4028.45,4167.24
2019-08-02,10402.04,10657.95,10371.01,10518.17,4152.49,4276.17,4021.12,4159.68
2019-08-01,10077.44,10446.92,9922.02,10399.67,4145.23,4268.73,4013.88,4152.34
2019-07-31,9604.05,10085.63,9598.10,10085.63,4138.20,4261.44,4006.96,4145.08
2019-07-30,9522.33,9701.76,9437.34,9607.42,4131.51,4254.40,4000.27,4138.05
2019-07-29,9548.18,9681.65,9472.95,9519.15,4124.88,4247.65,3993.70,4131.35
2019-07-28,9491.63,9575.54,9252.30,9552.86,4118.23,4240.90,3987.10,4124.72
2019-07-27,9871.17,10167.32,9411.52,9477.68,4111.62,4234.23,3980.66,4118.07
2019-07-26,9913.13,9916.52,9717.98,9870.30,4104.73,4227.13,3974.10,4111.46
2019-07-25,9809.10,10154.25,9773.96,9911.84,4097.82,4220.22,3967.33,4104.58
2019-07-24,9887.73,9908.80,9614.31,9811.93,4090.98,4213.14,3960.51,4097.67
2019-07-23,10346.75,10346.75,9883.59,9900.77,4084.08,4206.22,3953.81,4090.83
